Detection,Wazuh_ID
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
anomalous,"[1739398184.41318902,1739398184.41320238,1739398184.41321000,1739398184.41321357,1739398184.41321854,1739398184.41325533,1739398184.41326761,1739398184.41327356,1739398184.41330455,1739398184.41332058,1739398184.41333201,1739398184.41335541,1739398184.41336693,1739398184.41337039,1739398184.41337703,1739398184.41339406,1739398184.41340290,1739398184.41342423,1739398184.41343429,1739398184.41344548,1739398184.41345045,1739398184.41345310,1739398184.41346381,1739398184.41346865,1739398184.41347487,1739398184.41348746,1739398184.41350257,1739398184.41351236,1739398184.41353158,1739398184.41354169,1739398184.41356002,1739398184.41356292,1739398184.41356608,1739398184.41357047,1739398184.41357486,1739398184.41358894,1739398184.41359333,1739398184.41360265,1739398184.41363141,1739398184.41363814,1739398184.41364458,1739398184.41364765,1739398184.41366011,1739398184.41366276,1739398184.41368086,1739398184.41369915,1739398184.41370921,1739398184.41371239,1739398184.41371882,1739398184.41372366,1739398184.41373731,1739398184.41374812,1739398184.41376158,1739398184.41377886,1739398184.41378600,1739398184.41380825,1739398184.41381182,1739398184.41382288,1739398184.41383407,1739398184.41384681,1739398184.41384971,1739398184.41386325,1739398184.41388964,1739398184.41390462,1739398184.41395313,1739398184.41395668,1739398184.41398687,1739398184.41399190,1739398184.41400196,1739398184.41400499,1739398184.41405548,1739398184.41408019,1739398184.41408733,1739398184.41409931,1739398184.41410196,1739398184.41411799,1739398184.41413100,1739398184.41413849,1739398184.41414206,1739398184.41415208,1739398184.41415515,1739398184.41416012,1739398184.41416883,1739398184.41417367,1739398184.41418820,1739398184.41419259,1739398184.41421422,1739398184.41421861,1739398184.41422766,1739398184.41425867,1739398184.41426559,1739398184.41427859,1739398184.41428215,1739398184.41428571,1739398184.41428926,1739398184.41430414,1739398186.41433505,1739398186.41433989,1739398186.41434611,1739398186.41435959]"
